,time_stamp,action,roll,avoidl,avoidr,speed,2d_file_path,3d_file_path
0,2022_11_06_20_40_13,forward,-0.897,0.594,0.818,500.0,2022_11_06_20_40_13.jpg,2022_11_06_20_40_13.jpg
1,2022_11_06_20_40_14,forward,-0.898,0.594,0.818,500.0,2022_11_06_20_40_14.jpg,2022_11_06_20_40_14.jpg
2,2022_11_06_20_40_15,forward,-0.898,0.594,0.817,500.0,2022_11_06_20_40_15.jpg,2022_11_06_20_40_15.jpg
3,2022_11_06_20_40_16,forward,-0.898,0.597,1.648,500.0,2022_11_06_20_40_16.jpg,2022_11_06_20_40_16.jpg
4,2022_11_06_20_40_17,forward,-0.894,0.597,0.807,500.0,2022_11_06_20_40_17.jpg,2022_11_06_20_40_17.jpg
5,2022_11_06_20_40_18,forward,-0.894,0.606,0.796,500.0,2022_11_06_20_40_18.jpg,2022_11_06_20_40_18.jpg
6,2022_11_06_20_40_19,forward,-0.786,0.606,0.795,500.0,2022_11_06_20_40_19.jpg,2022_11_06_20_40_19.jpg
7,2022_11_09_09_32_32,forward,-0.664,0.659,0.774,500.0,2022_11_09_09_32_32.jpg,2022_11_09_09_32_32.jpg
8,2022_11_09_09_32_33,forward,-0.664,0.659,0.772,500.0,2022_11_09_09_32_33.jpg,2022_11_09_09_32_33.jpg
9,2022_11_09_09_32_34,forward,-0.664,0.659,0.777,500.0,2022_11_09_09_32_34.jpg,2022_11_09_09_32_34.jpg
10,2022_11_09_09_32_35,forward,-0.743,0.658,0.768,500.0,2022_11_09_09_32_35.jpg,2022_11_09_09_32_35.jpg
11,2022_11_09_09_32_55,left,-0.715,0.691,0.735,500.0,2022_11_09_09_32_55.jpg,2022_11_09_09_32_55.jpg
12,2022_11_09_09_32_56,left,-0.715,0.691,0.736,500.0,2022_11_09_09_32_56.jpg,2022_11_09_09_32_56.jpg
13,2022_11_09_09_32_57,left,-0.715,0.691,0.734,500.0,2022_11_09_09_32_57.jpg,2022_11_09_09_32_57.jpg
14,2022_11_09_09_32_58,left,-0.708,0.691,0.73,500.0,2022_11_09_09_32_58.jpg,2022_11_09_09_32_58.jpg
15,2022_11_09_09_32_59,left,-0.708,0.69,0.728,500.0,2022_11_09_09_32_59.jpg,2022_11_09_09_32_59.jpg
16,2022_11_09_09_33_00,left,-0.708,0.687,0.723,500.0,2022_11_09_09_33_00.jpg,2022_11_09_09_33_00.jpg
17,2022_11_09_09_33_01,left,-0.71,0.687,0.721,500.0,2022_11_09_09_33_01.jpg,2022_11_09_09_33_01.jpg
18,2022_11_09_09_33_02,left,-0.71,0.687,0.713,500.0,2022_11_09_09_33_02.jpg,2022_11_09_09_33_02.jpg
19,2022_11_09_09_33_03,left,-0.71,0.692,0.711,500.0,2022_11_09_09_33_03.jpg,2022_11_09_09_33_03.jpg
20,2022_11_09_09_33_04,left,-0.673,0.692,0.708,500.0,2022_11_09_09_33_04.jpg,2022_11_09_09_33_04.jpg
21,2022_11_09_09_33_17,forward,-0.672,0.701,0.704,500.0,2022_11_09_09_33_17.jpg,2022_11_09_09_33_17.jpg
22,2022_11_09_09_33_18,forward,-0.672,0.701,0.704,500.0,2022_11_09_09_33_18.jpg,2022_11_09_09_33_18.jpg
23,2022_11_09_09_33_19,forward,-0.629,0.701,0.707,500.0,2022_11_09_09_33_19.jpg,2022_11_09_09_33_19.jpg
24,2022_11_09_09_33_20,forward,-0.629,0.701,0.708,500.0,2022_11_09_09_33_20.jpg,2022_11_09_09_33_20.jpg
25,2022_11_09_09_33_21,forward,-0.629,0.701,0.71,500.0,2022_11_09_09_33_21.jpg,2022_11_09_09_33_21.jpg
26,2022_11_09_09_33_22,forward,-0.776,0.696,0.712,500.0,2022_11_09_09_33_22.jpg,2022_11_09_09_33_22.jpg
27,2022_11_09_09_33_23,forward,-0.776,0.696,0.714,500.0,2022_11_09_09_33_23.jpg,2022_11_09_09_33_23.jpg
28,2022_11_09_09_33_24,forward,-0.776,0.696,0.714,500.0,2022_11_09_09_33_24.jpg,2022_11_09_09_33_24.jpg
29,2022_11_09_09_33_25,forward,-0.823,0.689,0.721,500.0,2022_11_09_09_33_25.jpg,2022_11_09_09_33_25.jpg
30,2022_11_09_09_33_26,forward,-0.823,0.686,0.723,500.0,2022_11_09_09_33_26.jpg,2022_11_09_09_33_26.jpg
31,2022_11_09_09_33_27,forward,-0.823,0.686,0.721,500.0,2022_11_09_09_33_27.jpg,2022_11_09_09_33_27.jpg
32,2022_11_09_09_33_28,forward,-0.672,0.686,0.727,500.0,2022_11_09_09_33_28.jpg,2022_11_09_09_33_28.jpg
33,2022_11_09_09_33_29,forward,-0.672,0.683,0.732,500.0,2022_11_09_09_33_29.jpg,2022_11_09_09_33_29.jpg
34,2022_11_09_09_33_30,forward,-0.672,0.683,0.737,500.0,2022_11_09_09_33_30.jpg,2022_11_09_09_33_30.jpg
35,2022_11_09_09_33_31,forward,-0.802,0.67,0.74,500.0,2022_11_09_09_33_31.jpg,2022_11_09_09_33_31.jpg
36,2022_11_09_09_33_32,forward,-0.802,0.669,0.744,500.0,2022_11_09_09_33_32.jpg,2022_11_09_09_33_32.jpg
37,2022_11_09_09_33_33,forward,-0.802,0.669,0.745,500.0,2022_11_09_09_33_33.jpg,2022_11_09_09_33_33.jpg
38,2022_11_09_09_33_34,forward,-0.806,0.669,0.751,500.0,2022_11_09_09_33_34.jpg,2022_11_09_09_33_34.jpg
39,2022_11_09_09_33_35,forward,-0.806,0.659,0.757,500.0,2022_11_09_09_33_35.jpg,2022_11_09_09_33_35.jpg
40,2022_11_09_09_33_36,forward,-0.806,0.659,0.759,500.0,2022_11_09_09_33_36.jpg,2022_11_09_09_33_36.jpg
